file,group,experiment_dir,batch,lr,warmup,epoch,mode,dataset_tag,setup,adapter_size,adapter_pos,adapter_layers,dev_n,dev_p,dev_r,dev_f1,dev_p2,dev_r2,dev_f12,dev_acc,test_n,test_p,test_r,test_f1,test_p2,test_r2,test_f12,test_acc
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_figer_zeroshot_baseline_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,figer_zeroshot,baseline,,,,,,,,,,,,,0.012855532274289897,0.6575967323778314,0.02521806983808818,0.012793847889407453,0.5751860002095777,0.02503093335116878,0.0
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_zeroshot_baseline_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,zeroshot,baseline,,,,0,0.14146202711671566,0.7778936392075079,0.23939029281989574,0.14310500977167478,0.6318818818818819,0.23335998029157365,,0,0.14160556137510713,0.7809873949579832,0.2397420395002015,0.14369131035797536,0.6306306306306307,0.23405288387282075,
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_zeroshot_lin_only_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,zeroshot,lin_only,,,,5,0.08650751072961374,0.3362877997914494,0.13761467889908258,0.08977548977548978,0.22122122122122126,0.12771995832507144,,4,0.08851224105461393,0.34558823529411764,0.1409295352323838,0.08912364745698077,0.2262262262262262,0.12787134617319515,
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_figer_zeroshot_lin_only_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,figer_zeroshot,lin_only,,,,,,,,,,,,,0.013226766043486797,0.5890810220287307,0.025872608700513382,0.013205448628210496,0.5387194802473017,0.02577898568892722,0.0
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_figer_zeroshot_fac_lin_concat_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,figer_zeroshot,fac_lin_concat,,,,,,,,,,,,,0.01346109465241581,0.5175243359585184,0.026239680675422282,0.013504530730682867,0.5031262007055782,0.026303054872292127,0.0
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_zeroshot_fac_lin_concat_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,zeroshot,fac_lin_concat,,,,0,0.10831873905429072,0.6449426485922837,0.18548508022192234,0.10678853456631124,0.5337003670337002,0.17796742441799174,,0,0.11324748632915858,0.6743697478991597,0.19392840960579974,0.11167496861941173,0.550508842175509,0.18568275657738328,
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_zeroshot_fac_only_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,zeroshot,fac_only,,,,9,0.0974443077764111,0.37174139728884253,0.1544125609095831,0.09869512369512376,0.2519185852519186,0.14182637642553836,,4,0.09665427509293681,0.36869747899159666,0.1531580669793826,0.09681348014681346,0.24966633299966637,0.1395236643294553,
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_zeroshot_fac_lin_add_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,zeroshot,fac_lin_add,,,,1,0.06973271614155592,0.2434827945776851,0.10841555426581544,0.06961961961961961,0.16966966966966968,0.09872851307697574,,1,0.07499625018749062,0.26260504201680673,0.11667250029168125,0.07327327327327328,0.18105605605605607,0.10432591402777372,
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_figer_zeroshot_fac_lin_add_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,figer_zeroshot,fac_lin_add,,,,,,,,,,,,,0.014345412570202908,0.61088962807155,0.028032541939905384,0.014337796706543431,0.5390338467987006,0.02793261203046305,0.0
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_figer_zeroshot_fac_only_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,figer_zeroshot,fac_only,,,,,,,,,,,,,0.014020514067016177,0.660046633729553,0.027457778185281775,0.013926507012441351,0.6131544936952041,0.02723444131306808,0.0
